timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:07.552418,13396,-2296,10828,-545,674,-242,sitting
2025-07-13T11:10:07.552418,13420,-2100,10776,-583,707,-336,sitting
2025-07-13T11:10:07.552418,13328,-2348,10692,-631,708,-364,sitting
2025-07-13T11:10:07.552418,13276,-2304,10592,-625,735,-288,sitting
2025-07-13T11:10:07.552418,13280,-2336,10740,-499,890,-232,sitting
2025-07-13T11:10:07.552418,13440,-2184,10720,-480,955,-193,sitting
2025-07-13T11:10:07.552418,13556,-2164,10492,-599,846,-195,sitting
2025-07-13T11:10:07.552418,13520,-2232,10740,-705,740,-402,sitting
2025-07-13T11:10:07.552418,13332,-2392,10756,-611,800,-377,sitting
2025-07-13T11:10:07.552418,13312,-2400,10620,-581,915,-260,sitting
2025-07-13T11:10:07.552418,13472,-2288,10544,-612,981,-243,sitting
2025-07-13T11:10:07.552418,13644,-2156,10584,-708,1097,-218,sitting
2025-07-13T11:10:07.552418,13468,-2180,10556,-690,1092,-364,sitting
2025-07-13T11:10:07.552418,13548,-2196,10692,-694,1167,-365,sitting
2025-07-13T11:10:07.552418,13440,-2264,10632,-820,1248,-255,sitting
2025-07-13T11:10:07.552418,13292,-2252,10832,-925,1323,-220,sitting
2025-07-13T11:10:07.552418,13232,-2280,10668,-982,1350,-139,sitting
2025-07-13T11:10:07.552418,13360,-2416,10820,-906,1233,-260,sitting
2025-07-13T11:10:07.552418,13436,-2404,10820,-781,1301,-318,sitting
2025-07-13T11:10:07.552418,13344,-2172,10796,-824,1558,-172,sitting
2025-07-13T11:10:07.552418,13488,-2252,10632,-1046,1917,-59,sitting
2025-07-13T11:10:07.552418,13412,-2264,10836,-1155,2066,33,sitting
2025-07-13T11:10:07.552418,13484,-2200,10712,-1144,2101,106,sitting
2025-07-13T11:10:07.552418,13636,-2100,10744,-1220,2518,117,sitting
2025-07-13T11:10:07.552418,13808,-2024,10896,-1544,3276,445,sitting
2025-07-13T11:10:07.552418,13884,-1988,10860,-1975,4190,900,sitting
2025-07-13T11:10:07.552418,13840,-2084,10808,-2375,4497,760,sitting
2025-07-13T11:10:07.552418,13272,-2616,11024,-2481,4233,268,sitting
2025-07-13T11:10:07.552418,13096,-2900,11524,-2301,4001,131,sitting
2025-07-13T11:10:07.552418,13356,-3176,11420,-2066,4221,-9,sitting
2025-07-13T11:10:07.552418,12548,-3148,11356,-2110,4579,66,sitting
2025-07-13T11:10:07.552418,12164,-3448,11492,-2189,5075,235,sitting
2025-07-13T11:10:07.552418,11608,-3416,11748,-2250,5377,963,sitting
2025-07-13T11:10:07.552418,11388,-3728,12076,-2123,4974,1539,sitting
2025-07-13T11:10:07.552418,11740,-3832,12568,-1584,4792,1449,sitting
2025-07-13T11:10:07.552418,10932,-3672,12588,-976,4713,919,sitting
2025-07-13T11:10:08.585640,10660,-3480,12064,-412,3182,1182,sitting
2025-07-13T11:10:08.594102,11864,-3080,12516,216,3042,913,sitting
2025-07-13T11:10:08.594102,11396,-2980,12428,-123,3801,1247,sitting
2025-07-13T11:10:08.594102,11516,-3156,12484,-857,4386,1469,sitting
2025-07-13T11:10:08.594102,11036,-3360,12716,-1051,5150,1477,sitting
2025-07-13T11:10:08.594102,10164,-3488,12488,-1449,5214,1447,sitting
2025-07-13T11:10:08.594102,9548,-3948,12952,-1481,4966,1274,sitting
2025-07-13T11:10:08.594102,9120,-4400,13072,-1440,4531,1200,sitting
2025-07-13T11:10:08.594102,8920,-4556,13512,-776,4468,1189,sitting
2025-07-13T11:10:08.594102,8496,-4508,13896,-300,4054,1354,sitting
2025-07-13T11:10:08.594102,8144,-4508,13920,3,2954,1558,sitting
2025-07-13T11:10:08.594102,8416,-4584,14244,891,1294,1372,sitting
2025-07-13T11:10:08.594102,8236,-4172,14436,1278,240,882,sitting
2025-07-13T11:10:08.594102,9876,-4468,13300,1987,-1681,161,sitting
2025-07-13T11:10:08.594102,10544,-3572,12804,2996,-2251,169,sitting
2025-07-13T11:10:08.594102,11152,-3112,12424,2619,-2718,-54,sitting
2025-07-13T11:10:08.594102,11208,-2920,11556,1787,-2428,-194,sitting
2025-07-13T11:10:08.594102,11036,-2716,11432,876,-2114,-118,sitting
2025-07-13T11:10:08.594102,11076,-2916,11312,148,-1634,-65,sitting
2025-07-13T11:10:08.594102,11304,-2812,11464,-377,-1170,-14,sitting
2025-07-13T11:10:08.594102,11228,-2988,12348,-730,-1337,-71,sitting
2025-07-13T11:10:08.599869,11420,-3120,12448,-397,-1568,-263,sitting
2025-07-13T11:10:08.599869,11316,-2708,11680,-238,-1788,-657,sitting
2025-07-13T11:10:08.599869,11276,-2444,10924,-493,-1966,-1174,sitting
2025-07-13T11:10:08.600403,11628,-2044,10720,-1111,-2056,-1698,sitting
2025-07-13T11:10:08.600403,12980,-2340,12280,-1760,-1197,-2158,sitting
2025-07-13T11:10:08.600403,13520,-2916,14316,-2330,374,-1786,sitting
